,singer,name,genres
0,Scott Helman,Hang Ups,['POP']
1,Charlie Parker(찰리 파커),April In Paris,"['OST', '재즈']"
2,비범,Dawn (Feat. jeebanoff),"['아이돌', 'R&B/Soul']"
3,The One (더원),단 한번의 사랑,"['발라드', '뉴에이지', '성인가요', 'OST']"
4,동방신기 (TVXQ!),소원 (Wish),"['아이돌', '발라드']"
5,리드미스트(Rhythmist),첫눈에 반하다 (Song By 김수영),['발라드']
6,림킴 (김예림),Goodbye 20,['포크/블루스']
7,3LAU,Better With You (feat. Iselin),['일렉트로니카']
8,BVNDIT (밴디트),Dumb,"['R&B/Soul', '댄스', 'POP', '인디음악', '포크/블루스', '록/메탈', '랩/힙합']"
9,JBJ95,AWAKE,"['댄스', '아이돌', '일렉트로니카']"
10,페이버릿(FAVORITE),Loca,"['댄스', 'POP', '일렉트로니카', '랩/힙합']"
11,Stray Kids (스트레이 키즈),I am YOU,"['아이돌', '랩/힙합']"
12,뉴이스트 W,Signal,"['일렉트로니카', '재즈', 'POP', '아이돌', 'J-POP', '댄스', '인디음악', '록/메탈', '랩/힙합']"
13,EVERGLOW(에버글로우),Hush,"['포크/블루스/컨트리', '발라드', 'R&B/Soul', '일렉트로니카', 'POP', '아이돌', '뉴에이지', 'OST', 'J-POP', '댄스', 'EDM', '록/메탈', '랩/힙합']"
14,IZ*ONE(아이즈원),OPEN YOUR EYES,"['댄스', '아이돌', 'OST']"
15,VAV,119,"['댄스', '아이돌']"
16,Rayelle,Mona Lisa,"['포크/블루스/컨트리', '일렉트로니카', 'R&B/Soul', '재즈', 'POP', 'OST', 'EDM', '록/메탈', '랩/힙합']"
17,Sofia Carson(소피아 카슨),I Luv U,"['일렉트로니카', 'R&B/Soul', 'POP', '록/메탈', '랩/힙합']"
18,Zara Larsson(자라 라슨),I Would Like,['POP']
19,Winona Oak,Radio,"['R&B/Soul', '일렉트로니카', 'POP', '아이돌', '월드뮤직', 'J-POP', 'OST', '인디음악', '록/메탈', '랩/힙합']"
20,Billie Marten(빌리 마틴),She Dances,['포크/블루스/컨트리']
21,SuperM,Wish You Were Here,"['R&B/Soul', '재즈', 'POP', '월드뮤직', 'J-POP', 'OST', '클래식', '인디음악', '록/메탈', '랩/힙합']"
22,쿠잉프로젝트,"안녕, 어른","['인디음악', '발라드']"
23,Dusky Grey,Call Me Over,['POP']
24,Craig David(크레이그 데이빗),DNA,"['일렉트로니카', 'POP', '인디음악', '랩/힙합', '아이돌']"
25,Gracie Abrams,Alright,"['포크/블루스/컨트리', '발라드', '일렉트로니카', '아이돌', '월드뮤직', 'J-POP', '댄스', '인디음악', 'EDM', '랩/힙합', 'R&B/Soul', '재즈', 'POP', 'CCM', '포크/블루스', '록/메탈']"
26,UNXL(언오피셜),Looped,"['인디음악', '일렉트로니카']"
27,Satica,Heavenly,"['록/메탈', '재즈']"
28,Alex Parker,Love The Way You Lie,"['포크/블루스/컨트리', 'POP']"
29,SVEA,Iconic,"['POP', 'EDM', '일렉트로니카', 'R&B/Soul']"
30,Olivia Holt(올리비아 홀트),History,"['일렉트로니카', 'R&B/Soul', '뉴에이지', 'POP', '아이돌', 'OST', 'J-POP', '클래식', '댄스', '인디음악', '록/메탈', '랩/힙합']"
31,SIIGHTS,Fake It,"['일렉트로니카', '재즈', 'POP', '록/메탈']"
32,Marissa,Telephone,"['R&B/Soul', '일렉트로니카', '록/메탈', '클래식', 'POP', 'J-POP']"
33,Griff,Sound of Your Voice,['POP']
34,dress,11월27일 (feat. jane),['랩/힙합']
35,홈보이(Homeboy),교환일기,"['인디음악', 'OST', '랩/힙합']"
36,Bebe Rexha(비비 렉사),(Not) The One,['POP']
37,GANGGA,Foolish,"['R&B/Soul', 'POP', '인디음악', '록/메탈', '랩/힙합']"
38,PUBLIC,stay,"['OST', 'R&B/Soul', '록/메탈']"
39,타루(Taru),Summer Day,"['OST', '재즈', '댄스', 'POP', '인디음악', '포크/블루스', '록/메탈']"
40,하늘(Hanul),Bluebird,"['포크/블루스/컨트리', '발라드', '일렉트로니카', '재즈', 'POP', 'OST', '클래식', '록/메탈']"
41,이지아,컵케익과 외계인,"['발라드', 'OST']"
42,John De Sohn(존 드 손),Love You Better,"['POP', '일렉트로니카']"
43,ATEEZ(에이티즈),WAVE,"['일렉트로니카', '재즈', '뉴에이지', '아이돌', 'J-POP', '댄스', '인디음악', '포크/블루스', '랩/힙합']"
44,Billie Eilish(빌리 아일리시),bad guy,"['뉴에이지', 'POP', '재즈']"
45,William Fitzsimmons(윌리엄 피츠시몬스),Please Forgive Me,"['포크/블루스/컨트리', 'POP', '록/메탈']"
46,Anne-Marie(앤 마리),Can I Get Your Number,['POP']
47,Niall Horan(나일 호란),No Judgement,['POP']
48,Jessy Matador(제시 마타도르),Bomba (Klass Radio Edit),['일렉트로니카']
49,서연,여름안에서,"['댄스', '록/메탈', '랩/힙합']"
50,BAYZY,Sunflower,"['포크/블루스/컨트리', '발라드', '국악', '일렉트로니카', 'R&B/Soul', '재즈', '뉴에이지', 'POP', 'OST', '인디음악', '록/메탈', '랩/힙합']"
51,K.Flay(케이 플레이),FML,"['일렉트로니카', 'POP', '록/메탈', '랩/힙합']"
